	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_linens|t__SGB16634	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00092	0.0	0.0	0.0	0.0	0.00805	0.0	0.0	0.00074	0.0	0.0	0.0016
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_antiquum|t__SGB16638	0.0	0.0	0.29156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00035	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Microbacterium|s__Microbacterium_sp_JB110|t__SGB16938	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19452	0.46037	0.19376	1.81777	0.60722	0.43033	0.24764	0.12355	0.0	0.0	0.0	0.01223	0.0	0.0	0.0	0.0	0.07262	0.0	0.53732	1.25231	1.338	0.04611	0.05318	1.75724	1.19153	0.0045	0.00445	0.00989	0.02247	0.01555	0.10577	0.01262	2.49602	1.22686	0.06964	0.156	2.02661	0.7189	6.81478	5.1125	0.00341	0.0	0.0	0.00238	0.00983	0.0	0.0	0.0	0.04466	0.06105	0.02944	0.0363	5.36612	5.31127	0.02934	0.2342	0.88884	0.14159	0.00398	0.00348	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__GGB71869|s__GGB71869_SGB98873|t__SGB98873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03058	0.006	0.0291	0.00197	0.14415	0.00055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00482	0.0	0.0	0.0	0.0	0.0	0.00029	0.0	0.01736	0.01737	0.0	0.00313	0.0	0.0	0.00466	0.0	0.0	0.01471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3e-05	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Acidipropionibacterium|s__Acidipropionibacterium_acidipropionici|t__SGB16957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01489	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__GGB71840|s__GGB71840_SGB98840|t__SGB98840	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14044	0.03601	0.0387	0.05105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00064	0.00153	0.00179	0.0	0.0	0.0	0.0	0.00037	0.0	0.0	0.0	0.00039	0.0	0.41173	0.20026	0.0	0.0	0.0	0.0	3e-05	0.0	0.0038	0.00171	5e-05	0.0	0.0	0.0034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Tetragenococcus|s__Tetragenococcus_halophilus|t__SGB7926	0.0	0.0	36.88025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00626	0.0	0.0	0.00348	0.0008	0.0	0.0	0.0	0.0	0.0	0.80688	0.0	0.0	0.0	0.0	0.0	0.04414	0.0	0.03796	0.10738	0.03509	0.06394	0.00367	0.00741	0.22694	0.00527	0.00581	0.00061	0.32193	0.11154	0.0	0.00657	0.00292	0.0	0.0	0.00416	0.21838	0.06573	0.00099	0.0006	0.0	0.0	0.0005	0.20127	0.07468	0.0	0.17901	0.05155	0.00576	0.05002	0.00607	0.00595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Dermabacteraceae|g__Brachybacterium|s__Brachybacterium_SGB93118|t__SGB93118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55576	0.08664	0.16943	0.79844	0.36993	0.0797	0.68407	0.02875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19862	0.0	2.42752	0.08429	0.11258	0.12434	0.21842	0.03059	0.03365	0.1214	0.07917	0.07427	0.27939	0.47627	0.02967	0.01186	0.75782	3.16755	7.81105	0.66547	10.58398	0.98757	0.85623	0.78399	0.71261	0.02473	0.06049	0.03002	0.03917	0.43729	0.31902	0.38204	0.95343	0.47603	0.67052	0.9282	3.47341	4.18845	0.28572	0.41664	2.43232	2.10279	0.52069	0.5877	0.28518	0.31631
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Garicola|s__Garicola_koreensis|t__SGB87969	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00021	0.0	0.0	0.0	0.00026	0.0	0.00032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00172	0.00204	0.00099	0.0	0.0	0.00059	0.00115	0.00522	0.00534	7e-05	0.00161	0.0	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.00228	0.00101	0.0	0.0005	0.03702	0.00335	0.00427	0.00117	0.00015	0.0	0.00061	0.00011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0041	0.00438
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetales_unclassified|g__Actinomycetales_unclassified|s__Actinomycetales_bacterium_JB111|t__SGB16045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04624	0.00085	0.01237	0.0217	0.11001	0.06752	0.01786	0.03356	0.0	0.0	0.0	0.00038	0.0	0.0	0.0	0.0	0.01109	0.0	0.22827	0.14231	0.2866	0.0	0.0	0.05016	0.09466	0.64283	0.21845	0.80486	0.00719	0.01989	0.01234	0.0064	1.7687	1.39329	0.01263	0.02181	0.03263	0.0	0.67038	0.89971	0.00296	0.0	0.0	0.00409	0.00221	0.00224	0.0	0.0	0.0	0.0	0.0	0.0	0.88589	0.42038	0.0	0.0	0.78573	0.00116	0.00474	0.00045	0.0	0.00033
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_dongliensis|t__SGB49089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_helveticus|t__SGB7048	0.0	0.0	1.82705	0.0	0.00165	0.0	0.0	0.0	0.0	0.01234	0.0	0.0	0.0	0.0	0.0	0.00658	0.0	0.00142	0.0	0.77713	7.40386	0.02528	69.52957	56.53062	71.63145	54.41646	87.97604	0.01194	87.41626	0.02196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_SGB98808|t__SGB98808	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00083	0.0	0.0	0.0	0.0	0.0026	0.00079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00129	0.00154	0.00016	0.00036	0.00067	0.00162	0.00137	0.00012	6e-05	0.00371	0.00167	0.0	0.0	0.00114	0.0	0.0	0.0	0.0	0.0	0.13528	0.0	0.00083	0.0	0.00058	0.0	0.00044	0.00047	0.00076	0.00261	0.0	0.00236	0.0	0.0	0.0	0.0	0.0	0.0	0.23977	0.09696	0.0	0.00111
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Flaviflexus|s__Flaviflexus_ciconiae|t__SGB33736	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.51154	1.42517	0.06239	1.78821	11.09889	10.19419	5.3203	12.05081	0.0	0.0	0.0	0.00472	0.0	0.0	0.0	0.0	0.2398	0.0	0.08694	2.06527	0.16743	0.14883	0.10546	0.26656	0.37388	4.83243	4.10768	4.09957	0.36595	0.41533	1.38169	0.59942	1.29728	2.33199	0.47375	0.81902	0.72511	0.14842	1.49546	1.35003	5.0798	0.15468	0.23644	3.23112	12.25396	0.94642	2.94574	0.71403	0.07143	0.4296	0.0282	0.42344	2.15848	0.63668	0.0308	0.04824	2.20712	0.24681	3.50653	7.06327	0.67663	0.77641
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas_SGB69225|t__SGB69225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00221	0.0	0.02898	0.004	0.01751	0.00405	0.12972	0.06102	0.07391	0.04478	0.2074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.92408	0.00207	27.42353	0.03489	0.01768	0.09979	0.05962	0.04754	0.0149	0.03695	0.32125	0.05489	0.29394	0.11384	0.02724	0.13652	0.42361	0.15331	0.01649	0.08106	3.29831	4.4565	1.79504	1.87904	3.18304	0.01049	0.00043	0.01114	0.12535	0.42953	0.75495	0.17756	0.42597	0.03902	0.01278	7.06937	2.67212	5.10143	0.0	0.07722	1.656	1.65294	0.31388	1.22272	0.01004	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Alkalibacterium|s__Alkalibacterium_gilvum|t__SGB7879	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41871	0.75478	0.02384	1.56819	1.28806	0.20665	0.3421	1.79979	0.0	0.0	0.0	0.00081	0.0	0.0	0.0	0.0	0.92182	0.0	0.50705	0.19032	0.00772	0.48075	0.03034	0.10225	0.07733	0.16476	1.972	0.83253	1.81755	0.84759	0.0263	0.37234	0.33137	0.2935	0.71773	1.15889	1.52544	0.55165	0.49396	0.13579	2.17842	0.12654	0.08736	0.91794	10.97548	1.96499	2.86751	0.2068	0.04645	1.79862	2.98418	0.19641	2.1853	1.46369	0.4437	0.48789	4.70307	7.39009	0.17298	1.23286	1.6809	1.06071
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__GGB71372|s__GGB71372_SGB69433|t__SGB69433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00068	0.0	0.0	0.0005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.38579	0.0	0.46382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01303	0.0	0.0001	0.0	0.0	0.00022	0.0	0.0	0.0	0.0	0.00625	0.00256	0.0	0.0	0.0	0.0	0.0	0.0	0.00088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05091	0.02613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_saprophyticus|t__SGB7848	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.90189	0.0	0.47069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00451	0.00093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02005	0.00523	0.0	0.0	0.0	0.01269	0.25552	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Dermabacteraceae|g__Brachybacterium|s__Brachybacterium_SGB100385|t__SGB100385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Streptosporangiales|f__Nocardiopsidaceae|g__Nocardiopsis|s__Nocardiopsis_sp_JB363|t__SGB16395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.99622	0.0	0.70252	0.08169	0.01065	0.0	2.37562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12417	0.26015	0.00153	0.0	0.01684	0.04216	0.01506	1.12752	0.04189	0.0	0.0	0.00728	0.00744	0.0293	1.54874	0.0	0.0017	0.0	0.0	0.00929	0.09042	0.0	0.12832	0.00087	0.02677	0.00255	0.21241	0.0	0.16709	0.18976	0.03926	0.05074	0.01119	0.04359	1.77517	0.0	0.0	0.0	0.0	0.0	0.00064	0.04479	0.02767
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bartonellaceae|g__GGB72429|s__GGB72429_SGB99621|t__SGB99621	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00572	0.0	0.0	0.0	0.00058	0.0	0.00048	0.00028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_SGB69237|t__SGB69237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01944	0.02414	0.0	0.0	0.0	0.0	0.0	0.0	0.0183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Citricoccus|s__Citricoccus_SGB98783|t__SGB98783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00504	0.00518	0.00505	0.08491	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00571	0.02108	0.02237	0.0138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Mammaliicoccus|s__Mammaliicoccus_lentus|t__SGB7817	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02697	0.01125	0.00166	0.0	0.0	0.0	0.21073	0.08473	0.01313	0.09417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_glyciniphilum|t__SGB38105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00309	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus|t__SGB8002	0.0	14.35296	17.69624	52.65915	33.68662	34.4303	41.07831	6.39798	10.80182	30.11461	23.87596	0.00509	0.0	0.00442	0.02185	0.01571	0.0	0.01389	0.0	0.1827	0.01441	1.60922	1.71988	1.24689	1.60142	1.5951	0.73927	0.00589	0.78608	0.00796	0.00489	0.0	0.42397	0.41725	0.0	0.0	0.0	0.00076	0.0	0.01119	0.00682	0.0	0.00248	0.00025	0.00072	0.04745	0.00955	0.0	0.01075	0.16552	0.17184	0.03554	0.0	0.01821	0.00277	0.01776	0.008	0.01164	0.00219	0.00162	0.00158	0.0	0.01752	0.0	0.00323	0.03087	0.01049	0.0044	0.05766	0.01127	0.00896	0.00834	0.00424
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Cobetia|s__Cobetia_marina|t__SGB11854	0.0	0.0	0.5366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05627	0.028	0.07005	0.23678	0.00113	0.02409	0.0	0.0	0.0	0.0	0.0	0.00674	0.00096	0.01545	0.04567	0.0	0.07657	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_delbrueckii|t__SGB7020	0.0	0.0	0.11032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00811	0.0	0.02292	0.10394	0.0	0.0	0.0	0.00179	0.0	0.00489	0.00063	0.0	0.0	0.0	0.00332	0.00091	0.00123	0.0	0.0	0.00886	0.01788	0.0	0.00967	0.01477	0.0	0.00213	0.01031	0.00566	0.0	0.0	0.0	0.0	0.00085	0.0	0.0	0.0	0.0	0.00011	0.0	0.0	0.0	0.01846	0.0322
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Cobetia|s__Cobetia_amphilecti|t__SGB11853	0.0	0.0	0.09127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00719	0.0	0.01325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Lysobacterales|f__Lysobacteraceae|g__Luteimonas|s__Luteimonas_SGB69224|t__SGB69224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00777	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06635	0.0	1.26344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01225	3e-05	0.0	0.0	0.0233	0.0	0.04883	0.02202	0.00143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9e-05	0.00034	0.0	0.0	0.0	0.0	0.0	0.0012	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Alcaligenes|s__Alcaligenes_aquatilis|t__SGB11986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Psychroflexus|s__Psychroflexus_halocasei|t__SGB2909	0.0	0.0	0.00724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02206	0.02244	0.0035	0.00056	0.02295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.84448	0.0	0.53913	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00053	0.00037	0.0	0.0	0.0	0.00265	0.0	0.0	0.0	0.00278	0.38294	0.21961	0.01761	0.00115	0.0	0.0	0.0	0.0	0.00047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01218	0.02583	0.0	0.00117	0.14089	3.47853	0.0	0.0	0.0	0.0
